"GEOID","NAME","IncomeE","PopE","AgeE","HouseValueE","HouseholdSizeE","NumHouseE","BirthPlace_Born in state of res","BirthPlace_Born in other state","BirthPlace_Native; born outside","BirthPlace_Foreign born:","Industry_Agric","Industry_Const","Industry_Manuf","Industry_Whole","Industry_Retai","Industry_Trans","Industry_Infor","Industry_Finan","Industry_Profe","Industry_Educa","Industry_Arts,","Industry_Other","Industry_Publi","HouseType_Owner occupied","HouseType_Renter occupied","Race_White alone","Race_Black or African American","Race_American Indian and Alaska","Race_Asian alone","Race_Native Hawaiian and Other","Race_Some other race alone","Race_Two or more races:","geometry","AREA","NumColleges","DistToRiver","MinDistToHwy","NumHwys","AnyHwys","avg_elevation","pctWhite","incomeThousands"
"27123030400","Census Tract 304; Ramsey County; Minnesota",57396,5657,30.4,252700,2.32,2436,0.537210535619586,0.17553473572565,0.0037122149549231,0.283542513699841,0,0.00641231163834562,0.195254889387624,0.0141070856043604,0.112215453671048,0.0605963449823661,0.0147483167681949,0.0997114459762744,0.104200064123116,0.254568772042321,0.049054184033344,0.0477717217056749,0.0413594100673293,0.389573070607553,0.610426929392447,0.357256496376171,0.269754286724412,0.0081315184726887,0.232455365034471,0,0.0309351246243592,0.101467208767898,list(list(c(2850739.15712882, 2850747.00657132, 2850748.88922695, 2854999.04098336, 2855979.65787506, 2856012.31579773, 2856017.56996524, 2855268.7016971, 2853291.86192292, 2853024.74166369, 2851536.11554964, 2850743.95607811, 2850739.15712882, 1050126.89537656, 1052757.63163328, 1055389.03951091, 1055453.13674974, 1055472.22671014, 1052817.85401938, 1051840.75660557, 1051816.170864, 1051418.79725455, 1051305.07031802, 1050137.25144863, 1049653.68512288, 1050126.89537656))),22643049.7944217,0,14226.9517218322,4267.42167920725,0,FALSE,271.615789473684,35.7256496376171,57.396
"27123032400","Census Tract 324; Ramsey County; Minnesota",59188,3549,29.1,235400,3.02,1171,0.500704423781347,0.186249647788109,0.0157790927021696,0.297266835728374,0,0.0136476426799007,0.111042183622829,0.0254342431761787,0.0527295285359801,0.0285359801488834,0.0043424317617866,0.0155086848635236,0.220223325062035,0.313275434243176,0.0930521091811414,0.0682382133995037,0.053970223325062,0.628522630230572,0.371477369769428,0.221189067342913,0.37221752606368,0.0149337841645534,0.198365736827275,0,0.0270498732037194,0.166244012397859,list(list(c(2845553.91229917, 2845541.53038495, 2846850.89857223, 2847470.66841316, 2850777.96072594, 2850785.98077625, 2850795.35099146, 2850800.43024983, 2849490.67963315, 2848181.1990411, 2846871.68732403, 2845562.68553736, 2845553.91229917, 1044838.54763046, 1046421.1729313, 1046181.11796076, 1046120.9131023, 1045890.9335146, 1044874.13075486, 1044215.38682141, 1043885.47229898, 1043875.5250311, 1043864.56788017, 1043856.6082975, 1043849.46429939, 1044838.54763046))),11675231.5963473,0,10283.2281428948,3066.38641017682,0,FALSE,270.494623655914,22.1189067342914,59.188
"27123030900","Census Tract 309; Ramsey County; Minnesota",89444,3789,30.1,236600,3.1,1216,0.448403272631301,0.21720770651887,0.00369490630773291,0.330694114542096,0,0.0945300053106745,0.138077535847053,0.0106213489113117,0.0987785448751991,0.0403611258629846,0.00690387679235263,0.114710568242167,0.070631970260223,0.252788104089219,0.105151354221986,0.0414232607541158,0.0260223048327138,0.710526315789474,0.289473684210526,0.314330958036421,0.127738189495909,0,0.516231195566112,0.00369490630773291,0.0160992346265505,0.0219055159672737,list(list(c(2860456.3078549, 2861791.56187437, 2862430.18673825, 2863724.801355, 2863758.96032622, 2863776.82131964, 2863776.99851164, 2862467.4536108, 2861805.3045262, 2860789.15252119, 2860472.66719399, 2860456.3078549, 1050140.73971191, 1050242.80858371, 1050686.41661438, 1051609.98470581, 1049297.64400353, 1047671.68418193, 1047656.00795536, 1047624.47435923, 1047608.65528068, 1047610.04995532, 1047558.75590248, 1050140.73971191))),9908259.30399513,0,7951.16524161104,0,2,TRUE,264.168831168831,31.4330958036421,89.444
"27123030703","Census Tract 307.03; Ramsey County; Minnesota",73750,4470,34.3,241900,3,1489,0.554362416107383,0.177404921700224,0.0331096196868009,0.235123042505593,0,0.0325514600287219,0.273815222594543,0.0100526567735759,0.103398755385352,0.0636668262326472,0,0.0727620871230254,0.128769746290091,0.167544279559598,0.0598372426998564,0.0100526567735759,0.0775490665390139,0.723975822699799,0.276024177300201,0.392170022371365,0.0606263982102908,0.000894854586129754,0.43489932885906,0,0.0257270693512304,0.0856823266219239,list(list(c(2871546.89029598, 2874633.75583094, 2876844.38783567, 2876859.07393444, 2876873.49681548, 2874228.67215757, 2871585.13207357, 2871546.89029598, 1055702.56988965, 1055724.61431478, 1055740.65244906, 1054422.37989509, 1053104.47036251, 1053086.58588328, 1053069.77639207, 1055702.56988965))),13946581.0582895,0,14726.3193151081,5253.06063478976,0,FALSE,278.457142857143,39.2170022371365,73.75
"27123030500","Census Tract 305; Ramsey County; Minnesota",49717,5902,26.7,190500,3.02,1924,0.516773974923755,0.153337851575737,0.00338868180277872,0.32649949169773,0,0.0383261634728197,0.175596402033633,0.00156433320297223,0.0723504106374658,0.0934689088775909,0,0.0582714118107157,0.0965975752835354,0.268283144309738,0.0645287446226046,0.020336331638639,0.110676574110285,0.330561330561331,0.66943866943867,0.172653337851576,0.31684174855981,0.000677736360555744,0.431718061674009,0.00931887495764148,0.0243985089800068,0.0443917316164012,list(list(c(2856033.14261911, 2856026.28368054, 2856017.56996524, 2856012.31579773, 2855979.65787506, 2858420.52447337, 2860249.89572504, 2860351.5504326, 2860456.3078549, 2859320.76852373, 2859034.9914115, 2859427.53777046, 2858509.87904718, 2856034.6157132, 2856033.14261911, 1049115.83602503, 1050192.45187961, 1051840.75660557, 1052817.85401938, 1055472.22671014, 1055490.68138213, 1055497.4919588, 1052853.0040623, 1050140.73971191, 1049997.58135015, 1049980.5577521, 1049238.19007188, 1048905.71064157, 
1048886.51310179, 1049115.83602503))),27214139.5377455,0,10452.5710268877,0,2,TRUE,257.021739130435,17.2653337851576,49.717
"27123033300","Census Tract 333; Ramsey County; Minnesota",78542,3038,30.4,380300,2.35,1255,0.666556945358789,0.276168531928901,0,0.0572745227123107,0.00905250452625226,0.0404345202172601,0.0549185274592637,0.00422450211225106,0.0567290283645142,0.0651780325890163,0.0126735063367532,0.131563065781533,0.150271575135788,0.311406155703078,0.0724200362100181,0.0434520217260109,0.0476765238382619,0.529083665338645,0.470916334661355,0.814680710994075,0.0348913759052008,0,0.0302830809743252,0,0.0454246214614878,0.0747202106649111,list(list(c(2833737.58097972, 2833736.0769149, 2833733.42202756, 2835027.95730769, 2836291.49981153, 2837050.30839018, 2837810.76957077, 2837910.25457829, 2838676.52160442, 2838700.3514606, 2837702.83891581, 2837700.62064965, 2836263.39798842, 2835064.11494574, 2833749.49806012, 2833737.58097972, 1041910.67115374, 1042167.70127621, 1042252.99211544, 1041640.89280968, 1041080.70053063, 1040798.44344447, 1040739.73175371, 1040681.66834438, 1040151.97896924, 1038768.55219541, 1038756.29969159, 1039002.38404104, 
1038997.44480815, 1038993.50899019, 1038975.01108342, 1041910.67115374))),11114998.0976014,0,1905.23378277354,0,3,TRUE,275.989247311828,81.4680710994075,78.542
"27123042201","Census Tract 422.01; Ramsey County; Minnesota",81413,1676,31.4,278300,2.92,568,0.596062052505967,0.124701670644391,0.00298329355608592,0.276252983293556,0,0.0430232558139535,0.296511627906977,0.00581395348837209,0.0976744186046512,0.0383720930232558,0,0.0569767441860465,0.0848837209302326,0.195348837209302,0.104651162790698,0.00581395348837209,0.0709302325581395,0.626760563380282,0.373239436619718,0.455847255369928,0.0495226730310263,0,0.360381861575179,0,0.00119331742243437,0.133054892601432,list(list(c(2855921.35262361, 2860093.4613851, 2860150.90651819, 2860249.89572504, 2858420.52447337, 2855979.65787506, 2855970.54262394, 2855921.35262361, 1060731.48035031, 1060762.94472429, 1058136.546843, 1055497.4919588, 1055490.68138213, 1055472.22671014, 1056258.22870336, 1060731.48035031))),22154645.615324,0,16231.3650919726,0,2,TRUE,270.161111111111,45.5847255369928,81.413
"27123030100","Census Tract 301; Ramsey County; Minnesota",93958,4732,36.3,451400,2.22,1939,0.527049873203719,0.357354184277261,0.00972104818258664,0.105874894336433,0,0.011558538404176,0.0495898583146905,0.0141685309470544,0.0786726323639075,0.0130499627143922,0.023117076808352,0.0607755406413125,0.195003728560776,0.436987322893363,0.0551826994780015,0.0432513049962714,0.0186428038777032,0.620422898401238,0.379577101598762,0.798182586644125,0.051352493660186,0.000422654268808115,0.0621301775147929,0,0.00190194420963652,0.0860101437024514,list(list(c(2829681.41987391, 2831001.62630767, 2832321.32511275, 2834958.34836898, 2834962.82125332, 2834963.71036962, 2834968.67176426, 2837366.51563952, 2840215.3448878, 2840244.92094804, 2840244.84311306, 2837457.52745228, 2833365.09959861, 2832811.80747521, 2832565.93453134, 2831373.55140264, 2829692.73262018, 2829681.41987391, 1053816.86826336, 1053830.80175318, 1053843.71886522, 1053874.15184458, 1052565.62322027, 1052215.97458608, 1049921.19433883, 1049955.01510968, 1049996.61558989, 1048643.49863952, 
