"GEOID","NAME","IncomeE","PopE","AgeE","HouseValueE","HouseholdSizeE","NumHouseE","BirthPlace_Born in state of res","BirthPlace_Born in other state","BirthPlace_Native; born outside","BirthPlace_Foreign born:","Industry_Agric","Industry_Const","Industry_Manuf","Industry_Whole","Industry_Retai","Industry_Trans","Industry_Infor","Industry_Finan","Industry_Profe","Industry_Educa","Industry_Arts,","Industry_Other","Industry_Publi","HouseType_Owner occupied","HouseType_Renter occupied","Race_White alone","Race_Black or African American","Race_American Indian and Alaska","Race_Asian alone","Race_Native Hawaiian and Other","Race_Some other race alone","Race_Two or more races:","geometry","AREA","NumColleges","DistToRiver","MinDistToHwy","NumHwys","AnyHwys","avg_elevation","pctWhite","incomeThousands"
"27123030800","Census Tract 308; Ramsey County; Minnesota",79167,5197,33.2,226500,2.82,1840,0.545122185876467,0.181065999615163,0.0146238214354435,0.259187993072927,0,0.0633110499410146,0.148250098309084,0.05505308690523,0.0802202123476209,0.0200550530869052,0.00904443570585922,0.0672434132913881,0.0880849390483681,0.264254817145104,0.120723554856469,0.0424695241840346,0.0412898151789225,0.698913043478261,0.301086956521739,0.454877814123533,0.0819703675197229,0.0042332114681547,0.270925533961901,0,0.0661920338656918,0.121801039060997,list(list(c(2850743.95607811, 2851536.11554964, 2853024.74166369, 2853291.86192292, 2855268.7016971, 2856017.56996524, 2856026.28368054, 2856033.14261911, 2856034.6157132, 2856041.0625221, 2853410.63849678, 2852086.4957725, 2852089.55665496, 2851424.79240913, 2850762.069169, 2850743.95607811, 1049653.68512288, 1050137.25144863, 1051305.07031802, 1051418.79725455, 1051816.170864, 1051840.75660557, 1050192.45187961, 1049115.83602503, 1048886.51310179, 1047894.84777663, 1047853.11476214, 1047832.27492614, 
1047523.48501695, 1047823.71308046, 1047813.70260543, 1049653.68512288))),17372799.2248554,0,10690.1412514344,4375.62254458204,0,FALSE,264.481481481481,45.4877814123533,79.167
"27123041302","Census Tract 413.02; Ramsey County; Minnesota",66727,4431,31.7,345700,1.96,1802,0.656285262920334,0.278718122320018,0.00789889415481832,0.0570977206048296,0,0.0284951024042743,0.160284951024043,0.0146927871772039,0.0828138913624221,0.0716829919857525,0.0120213713268032,0.0231522707034728,0.108637577916296,0.362422083704363,0.060106856634016,0.0641139804096171,0.0115761353517364,0.519422863485017,0.480577136514983,0.790340780862108,0.0767321146468066,0.004062288422478,0.0521327014218009,0,0.0144436921688107,0.0622884224779959,list(list(c(2829382.38648112, 2832019.14552241, 2833891.94567739, 2834652.17843911, 2837291.24753094, 2841027.64718658, 2840363.96847045, 2840202.77057588, 2840014.69995853, 2839989.31471063, 2840044.7879531, 2840048.01187669, 2840066.09676406, 2840197.54050665, 2837674.32987672, 2835023.97772762, 2831866.23237287, 2831384.13556412, 2831060.9375099, 2830385.63196318, 2830014.89219913, 2829604.6563535, 2829510.91746726, 2829480.12376222, 2829454.2066219, 2829447.40887152, 2829382.38648112, 1071195.96417671, 
1071216.93395342, 1071239.40529433, 1071248.76951062, 1071271.51401057, 1071305.79550505, 1070473.89021014, 1070131.69669635, 1069482.95585512, 1068447.19715149, 1065921.3652183, 1065808.00384722, 1063195.74891279, 1062048.20073744, 1062014.60447803, 1061969.83483241, 1061971.46357098, 1061865.01798218, 1061695.59845504, 1061030.16853636, 1060693.67678382, 1060427.90742279, 1065669.71087294, 1067139.52019989, 1068213.04692074, 1068300.85222344, 1071195.96417671))),99932827.8058081,2,18921.0449647722,0,1,TRUE,283.238276299113,79.0340780862108,66.727
"27123032300","Census Tract 323; Ramsey County; Minnesota",96940,4168,34,265000,2.69,1543,0.630758157389635,0.229606525911708,0.00191938579654511,0.137715930902111,0,0.015993907083016,0.148134044173648,0.031987814166032,0.140898705255141,0.0601675552170602,0.00952018278750952,0.0502665651180503,0.0883472962680883,0.286367098248286,0.0769230769230769,0.0449352627570449,0.0464584920030465,0.755670771224887,0.244329228775113,0.55926103646833,0.20753358925144,0.00143953934740883,0.0283109404990403,0,0.0304702495201536,0.172984644913628,list(list(c(2842904.59427501, 2842888.67453059, 2845541.53038495, 2845553.91229917, 2845562.68553736, 2845566.2481249, 2845576.44818436, 2842936.97901285, 2842921.83125433, 2842904.59427501, 1044785.53122389, 1046931.07091037, 1046421.1729313, 1044838.54763046, 1043849.46429939, 1043508.23087192, 1042184.09163007, 1042147.94930523, 1043465.83877536, 1044785.53122389))),11936706.3936939,0,11566.6793239604,1400.01184772014,0,FALSE,280.320388349515,55.926103646833,96.94
"27123030602","Census Tract 306.02; Ramsey County; Minnesota",71292,3960,37.2,273600,2.86,1373,0.524494949494949,0.254545454545455,0,0.220959595959596,0,0.020273694880892,0.130258489609731,0.0197668525088697,0.132285859097821,0.0486568677141409,0.0177394830207805,0.0669031931069437,0.11454637607704,0.321338063862139,0.0643689812468322,0.0405473897617841,0.0233147491130258,0.80626365622724,0.19373634377276,0.51540404040404,0.0633838383838384,0.00101010101010101,0.36489898989899,0,0.0189393939393939,0.0363636363636364,list(list(c(2863654.88802307, 2864312.26269253, 2866269.7460932, 2871546.89029598, 2871585.13207357, 2871236.92004901, 2871571.00340123, 2871500.3755491, 2870960.36308931, 2870608.41002728, 2869238.47292262, 2869045.0919007, 2867636.66288038, 2867659.81206197, 2866342.09470541, 2866330.98243406, 2865022.25053168, 2865044.19348952, 2864379.33330858, 2863724.801355, 2863701.92188576, 2863654.88802307, 1055575.07803004, 1055579.23617914, 1055627.76265558, 1055702.56988965, 1053069.77639207, 1052907.83627436, 
1052240.8458325, 1051352.55382113, 1050969.61385106, 1051036.98244572, 1052307.44946914, 1053031.15783505, 1053009.46087377, 1051692.74739561, 1051673.63850388, 1052329.08368639, 1052297.03322564, 1051641.34630704, 1051624.6851556, 1051609.98470581, 1052924.51503364, 1055575.07803004))),28784222.1678686,0,11893.8177243354,0,1,TRUE,269.122727272727,51.540404040404,71.292
"27123042700","Census Tract 427; Ramsey County; Minnesota",90282,5593,31.7,288000,2.63,2110,0.617736456284641,0.204541391024495,0.0103701054890041,0.167352047201859,0.0162292817679558,0.0424723756906077,0.109116022099448,0.0345303867403315,0.154350828729282,0.0331491712707182,0,0.06353591160221,0.0659530386740332,0.362223756906077,0.0555939226519337,0.0369475138121547,0.0258977900552486,0.728909952606635,0.271090047393365,0.552297514750581,0.0815304845342392,0.0019667441444663,0.291256928303236,0,0.0554264258895047,0.0175219023779725,list(list(c(2879407.1429319, 2879269.57548365, 2879377.9153598, 2880413.45039224, 2881978.46899485, 2882646.03819416, 2883952.04641302, 2883981.71307693, 2885930.74348012, 2887236.31389955, 2887250.22749818, 2887292.16909988, 2884666.45573902, 2884679.33953689, 2884026.76728086, 2883881.8939064, 2882052.10569819, 2880094.72330337, 2879442.90204665, 2879424.991963, 2879150.55099361, 2879407.1429319, 1061039.3501419, 1062582.21339288, 1063035.64487831, 1063168.47195336, 1063210.79993332, 1063229.87509465, 
1063618.49501776, 1061811.44284395, 1062204.07052076, 1062253.79135445, 1061258.55347677, 1058631.63203437, 1058544.48771018, 1057223.27238669, 1057210.51782781, 1058518.44668638, 1058457.80801037, 1058422.76761333, 1058393.75541054, 1060051.81700838, 1060050.69947761, 1061039.3501419))),34609270.6661749,0,22917.2655161664,8046.18754148493,0,FALSE,298.745519713262,55.2297514750581,90.282
"27123031100","Census Tract 311; Ramsey County; Minnesota",74793,3852,34.3,240100,2.89,1328,0.576064382139148,0.220404984423676,0,0.203530633437176,0,0.0259044216167932,0.19606967396159,0.0187583742742296,0.0701205895489058,0.035283608753908,0.0102724430549352,0.0460026797677535,0.161679321125502,0.256811076373381,0.103171058508263,0.035283608753908,0.0406431442608307,0.799698795180723,0.200301204819277,0.382139148494289,0.149273104880582,0.00207684319833853,0.349169262720665,0,0,0.117341640706127,list(list(c(2866342.09470541, 2867659.81206197, 2867636.66288038, 2869045.0919007, 2869238.47292262, 2870608.41002728, 2870960.36308931, 2871246.708583, 2871336.89027549, 2871830.48366814, 2871689.04550167, 2869010.06599246, 2866379.96371889, 2866363.85655237, 2866342.09470541, 1051673.63850388, 1051692.74739561, 1053009.46087377, 1053031.15783505, 1052307.44946914, 1051036.98244572, 1050969.61385106, 1050425.66694061, 1049815.9929465, 1049367.44812177, 1049112.75515713, 1049074.34733238, 1049039.02499555, 
1050358.00404417, 1051673.63850388))),14586311.835983,0,9416.58488211454,0,1,TRUE,270.463636363636,38.2139148494289,74.793
"27123031701","Census Tract 317.01; Ramsey County; Minnesota",77162,2894,31.9,213500,3.4,850,0.540082930200415,0.227712508638563,0.00449205252246026,0.227712508638563,0.0114093959731544,0.0395973154362416,0.202013422818792,0.0214765100671141,0.128187919463087,0.0449664429530201,0.00402684563758389,0.0221476510067114,0.17248322147651,0.30738255033557,0.0221476510067114,0.00671140939597315,0.0174496644295302,0.630588235294118,0.369411764705882,0.30062197650311,0.106772633033863,0.0172771250863856,0.457498272287491,0,0.0556323427781617,0.0621976503109882,list(list(c(2867722.91988941, 2867717.49885456, 2869028.50428231, 2869028.54832424, 2870117.77970531, 2871293.62353301, 2871570.9464676, 2871689.04550167, 2871830.48366814, 2871958.97403254, 2872072.96178108, 2871826.19534002, 2871811.26207111, 2871607.81770925, 2869695.36168847, 2869709.66164667, 2869051.28216971, 2867735.56824722, 2867722.91988941, 1045095.83678723, 1046153.50839005, 1046514.62618951, 1046533.22184068, 1046953.46646436, 1048066.44534498, 1048565.55233782, 1049112.75515713, 1049367.44812177, 
1049113.35683499, 1048240.71496488, 1047297.86162745, 1046249.79438925, 1045162.70130844, 1045121.14116124, 1044467.56066302, 1044453.01801123, 1044445.51817296, 1045095.83678723))),9487517.61545444,0,5289.81852960057,1282.15414297669,0,FALSE,262.883116883117,30.062197650311,77.162
"27123042302","Census Tract 423.02; Ramsey County; Minnesota",95813,4871,47.2,279900,2.68,1805,0.620406487374256,0.162184356394991,0.00964894272223363,0.20776021350852,0.00809248554913295,0.0647398843930636,0.122543352601156,0.0192678227360308,0.134874759152216,0.0728323699421965,0.0196531791907514,0.0578034682080925,0.0951830443159923,0.266281310211946,0.0616570327552987,0.0439306358381503,0.033140655105973,0.7202216066482,0.279778393351801,0.550400328474646,0.0262779716690618,0.0125230958735373,0.354957914185999,0,0.0225826319031,0.0332580578936563,list(list(c(2866251.26464496, 2866304.70349669, 2866392.91949325, 2866695.87573957, 2867857.18042675, 2868441.46256872, 2869033.91523167, 2874108.90677711, 2874129.9869957, 2874163.43053635, 2874598.79153813, 2874884.73553345, 2874889.98167978, 2874633.75583094, 2871546.89029598, 2866269.7460932, 2866251.26464496, 1056588.67190731, 1057911.73599799, 1058205.89388994, 1058678.25331267, 1060360.4200753, 1061598.45481168, 1062884.36700996, 1062929.05880159, 1060989.18218672, 1058352.30982155, 1058354.17010427, 
1056641.67224375, 1056154.60868827, 1055724.61431478, 1055702.56988965, 1055627.76265558, 1056588.67190731))),51101783.1151578,0,15955.7361793274,0,1,TRUE,271.133177570093,55.0400328474646,95.813
"27123033500","Census Tract 335; Ramsey County; Minnesota",58270,3409,35.5,228000,2.84,1201,0.42299794661191,0.407744206512174,0.00938691698445292,0.159870929891464,0.0471360381861575,0,0.0638424821002387,0,0.0841288782816229,0.10381861575179,0.00596658711217184,0.0465393794749403,0.0900954653937947,0.350238663484487,0.0710023866348449,0.0572792362768496,0.0799522673031026,0.577019150707744,0.422980849292256,0.252273393957172,0.505426811381637,0,0.0956292167791141,0.00586682311528307,0.0472279260780287,0.093575828688765,list(list(c(2845590.02411971, 2845588.16300771, 2845576.44818436, 2846889.11572501, 2848202.0413569, 2849513.15422791, 2850824.27022253, 2850843.71455095, 2850848.28598581, 2850853.26660694, 2849068.5184575, 2847568.11548918, 2846252.57020652, 2845597.08403005, 2845590.02411971, 1040685.34361283, 1040888.4088643, 1042184.09163007, 1042197.10759044, 1042210.20771863, 1042223.37005737, 1042236.24907242, 1040925.69961301, 1040619.1153416, 1040274.25197433, 1040258.16767986, 1040236.11199175, 1040214.27454643, 
1039885.11088394, 1040685.34361283))),10439037.0931332,0,7859.04833735992,0,3,TRUE,270.363636363636,25.2273393957172,58.27
"27123037200","Census Tract 372; Ramsey County; Minnesota",88371,6566,35.1,264700,3.03,2153,0.545994517209869,0.21306731647883,0.0047212915016753,0.236216874809625,0.0169274992015331,0.0408815075055893,0.188438198658576,0.0236346215266688,0.0846374960076653,0.0852762695624401,0.0290641967422549,0.0504631108272118,0.104758862983073,0.260300223570744,0.0808048546790163,0.032258064516129,0.00255509421909933,0.750580585229912,0.249419414770088,0.477002741395065,0.192811452939385,0.0185805665549802,0.0979287237282973,0,0.068534876637222,0.14514163874505,list(list(c(2860129.56706059, 2860877.73562996, 2860865.80979409, 2860834.04053397, 2861593.51940467, 2862726.1734179, 2863457.68581864, 2865800.42863744, 2866494.93095135, 2867752.46538465, 2868242.73659816, 2866755.68212845, 2864780.806513, 2863886.34905804, 2862796.01480881, 2860894.13387818, 2860144.51958044, 2860129.56706059, 1030119.086465, 1030135.80639987, 1030995.77434677, 1032845.05845013, 1032860.83714776, 1032880.83642893, 1032873.03280725, 1031958.54217973, 1031429.76496879, 1030077.62585836, 
1029229.71985819, 1029217.03980266, 1029207.31220164, 1029204.11472218, 1029204.22014735, 1029200.0514065, 1029193.88868971, 1030119.086465))),21578143.2773085,0,910.066490691273,0,1,TRUE,264.126373626374,47.7002741395065,88.371
"27123041001","Census Tract 410.01; Ramsey County; Minnesota",92453,3580,40.9,313900,2.63,1355,0.766759776536313,0.14608938547486,0.00614525139664804,0.0810055865921788,0.00493150684931507,0.0542465753424658,0.155616438356164,0.0164383561643836,0.101369863013699,0.0684931506849315,0.00328767123287671,0.0520547945205479,0.10958904109589,0.24,0.100821917808219,0.0224657534246575,0.0706849315068493,0.845018450184502,0.154981549815498,0.825139664804469,0.0192737430167598,0,0.085195530726257,0,0.0120111731843575,0.0583798882681564,list(list(c(2823967.55564187, 2824011.51084903, 2824008.86945513, 2826671.97053816, 2827645.09286577, 2828653.35939098, 2828815.35896161, 2828842.41872182, 2828896.9528165, 2827831.73948363, 2827293.98028095, 2826258.76622429, 2825255.50073756, 2824035.05467173, 2824016.07294533, 2823935.5293744, 2823967.55564187, 1100486.2970577, 1100697.82791095, 1103518.51655702, 1103520.51046706, 1103523.28684507, 1102667.76109936, 1101505.45295863, 1100202.92023663, 1097555.56788193, 1097515.02296229, 1097157.26493093, 
1097460.92464086, 1097421.8309034, 1097139.71833263, 1098711.78129753, 1100241.69848094, 1100486.2970577))),29064084.5548592,0,55704.2213325896,117.356503651874,0,FALSE,277.113924050633,82.5139664804469,92.453
"27123035100","Census Tract 351; Ramsey County; Minnesota",104722,3351,22,568200,2.16,946,0.468815279021188,0.413309459862728,0.00746045956430916,0.110414801551776,0,0.0356564019448947,0.050783360345759,0.0702323068611561,0.069151809832523,0.00162074554294976,0.0259319286871961,0.0388978930307942,0.112911939492166,0.478660183684495,0.059967585089141,0.0232306861156132,0.0329551593733117,0.613107822410148,0.386892177589852,0.785437182930468,0.0370038794389734,0,0.0886302596239928,0,0.0101462250074605,0.0787824529991047,list(list(c(2836396.81663737, 2837717.52789101, 2838478.68312043, 2839450.11849673, 2840355.29265838, 2840366.51454506, 2840375.02968537, 2839529.50812363, 2839057.67023561, 2837738.25382783, 2836420.62801768, 2836396.81663737, 1036841.79398248, 1036859.78714798, 1036874.75482339, 1036862.71460367, 1036873.37814308, 1035645.14794205, 1034301.31274808, 1034296.72393193, 1034294.49196648, 1034286.27406123, 1034280.3439175, 1036841.79398248))),10178113.690125,1,4176.20890130941,3748.31284623656,0,FALSE,280.922077922078,78.5437182930469,104.722
"27123036500","Census Tract 365; Ramsey County; Minnesota",87258,4368,37.3,376100,2.11,2030,0.535027472527473,0.421932234432234,0.00434981684981685,0.0386904761904762,0.00476758045292014,0.021056813667064,0.0945570123162495,0.0246324990067541,0.0802542709574891,0.054429876837505,0.0393325387365912,0.0695272149384187,0.144616607071911,0.289630512514899,0.0882002383790226,0.0405244338498212,0.0484704012713548,0.645812807881773,0.354187192118227,0.830357142857143,0.0299908424908425,0,0.0483058608058608,0,0.00366300366300366,0.0876831501831502,list(list(c(2840375.02968537, 2841694.98238085, 2843012.86723625, 2843040.66404816, 2843058.72021056, 2843062.14982396, 2843069.4368294, 2840429.49085193, 2840415.75720304, 2840402.29370205, 2840375.02968537, 1034301.31274808, 1034307.87750209, 1034314.13863268, 1031669.60552991, 1030019.60802176, 1029687.12763572, 1029030.9219614, 1029007.86543114, 1030330.13005442, 1031651.30508849, 1034301.31274808))),13955324.2357864,0,6209.3230069211,3017.0453469746,0,FALSE,288.425,83.0357142857143,87.258
"27123036800","Census Tract 368; Ramsey County; Minnesota",88327,2086,40.3,277500,2.03,995,0.7535953978907,0.204218600191755,0.00767018216682646,0.0345158197507191,0,0.00633802816901408,0.0816901408450704,0.026056338028169,0.0992957746478873,0.0133802816901408,0.0225352112676056,0.0514084507042254,0.113380281690141,0.297183098591549,0.0697183098591549,0.0985915492957746,0.120422535211268,0.822110552763819,0.177889447236181,0.897411313518696,0.012464046021093,0,0.0167785234899329,0,0.00575263662511985,0.0675934803451582,list(list(c(2847961.74113967, 2848308.49748632, 2850361.81837315, 2850820.18302053, 2851074.72118812, 2850491.88213569, 2850443.89961469, 2850444.23549499, 2850468.62822016, 2850732.87794278, 2850152.09309411, 2849742.16781922, 2848689.57623529, 2848683.71153605, 2848575.37921902, 2848344.49651996, 2848339.17932682, 2848330.69401082, 2848316.9679463, 2847956.96282992, 2847961.74113967, 1034337.69122321, 1034339.52897121, 1034352.93675402, 1034356.00595035, 1034359.82078157, 1033886.53797192, 1031707.52421569, 
1031651.74361719, 1030384.64622007, 1029871.55427955, 1029411.79618895, 1029008.92491318, 1029065.94206063, 1029718.15203937, 1029821.28212543, 1030049.63443502, 1030700.02770968, 1031699.31203889, 1033341.70067913, 1033661.3027035, 1034337.69122321))),11355924.2420771,0,102.240499146683,0,1,TRUE,243.685393258427,89.7411313518696,88.327
"27123036900","Census Tract 369; Ramsey County; Minnesota",61268,2245,40.1,257800,1.79,1222,0.556792873051225,0.338530066815145,0.0347438752783964,0.0699331848552339,0,0.0304832713754647,0.0996282527881041,0.0215613382899628,0.0661710037174721,0.028996282527881,0.0468401486988848,0.0267657992565056,0.0513011152416357,0.237918215613383,0.256505576208178,0.0944237918215613,0.0394052044609665,0.501636661211129,0.498363338788871,0.861915367483296,0.0592427616926503,0.0155902004454343,0.0146993318485523,0,0.0271714922048998,0.021380846325167,list(list(c(2850152.09309411, 2850732.87794278, 2850468.62822016, 2850444.23549499, 2850443.89961469, 2850491.88213569, 2851074.72118812, 2850820.18302053, 2850361.81837315, 2850435.94313176, 2850929.34601682, 2852460.01594436, 2853552.69897756, 2853557.61058394, 2853588.5370748, 2853594.47129218, 2853618.540237, 2853620.48819534, 2853278.57904554, 2853182.07574834, 2853102.16357978, 2852890.21683454, 2853243.85377148, 2851982.38521358, 2850408.29037425, 2850152.09309411, 1029411.79618895, 1029871.55427955, 
1030384.64622007, 1031651.74361719, 1031707.52421569, 1033886.53797192, 1034359.82078157, 1034356.00595035, 1034352.93675402, 1034493.37030535, 1034828.24022023, 1035875.75761928, 1036487.68448574, 1036416.63971804, 1034730.31487348, 1034397.13104238, 1033105.60044363, 1032997.33427628, 1032664.40224883, 1032558.71916233, 1032523.58398257, 1032050.59532441, 1030651.05416489, 1030144.89434123, 1029095.49971095, 1029411.79618895))),15923503.1696231,0,0,0,1,TRUE,234.888888888889,86.1915367483296,61.268
"27123036700","Census Tract 367; Ramsey County; Minnesota",73298,5474,38.2,243100,2.03,2608,0.598100109609061,0.250639386189258,0.00401899890390939,0.147241505297771,0.0123416693731731,0.0253329002923027,0.11984410522897,0.0253329002923027,0.123091912958753,0.0188372848327379,0.0172133809678467,0.0587853199090614,0.1328353361481,0.228970444949659,0.0993829165313413,0.0759987008769081,0.0620331276388438,0.529141104294479,0.470858895705521,0.736572890025575,0.148154914139569,0,0.0635732553891122,0,0.00182681768359518,0.0498721227621483,list(list(c(2843415.06329884, 2844145.81656283, 2845055.96985791, 2845442.87297638, 2845707.98996698, 2845691.46444924, 2846121.92367301, 2846175.53731515, 2846474.18032144, 2847054.19012186, 2846956.86402238, 2846110.62044882, 2844739.40569193, 2845671.43255242, 2847961.74113967, 2847956.96282992, 2848316.9679463, 2848330.69401082, 2848339.17932682, 2848344.49651996, 2848575.37921902, 2848683.71153605, 2848689.57623529, 2849742.16781922, 2850152.09309411, 2850408.29037425, 2850374.77757862, 2849530.9410304, 
2849105.06978642, 2848390.03893659, 2847725.70989744, 2846843.13443016, 2846431.13624429, 2843780.41957303, 2843415.06329884, 1025012.58941558, 1025502.15085376, 1026549.98382419, 1028428.42441764, 1029038.61530312, 1031688.36456711, 1031690.31090252, 1031690.50720727, 1032456.74587406, 1033038.90251833, 1033033.50506025, 1033018.43746406, 1034322.17431505, 1034326.41583238, 1034337.69122321, 1033661.3027035, 1033341.70067913, 1031699.31203889, 1030700.02770968, 1030049.63443502, 1029821.28212543, 
1029718.15203937, 1029065.94206063, 1029008.92491318, 1029411.79618895, 1029095.49971095, 1029080.19375815, 1027750.26441523, 1025645.64585334, 1024120.24957844, 1023429.6177162, 1024741.64918231, 1025833.31783118, 1023957.57073169, 1025012.58941558))),33690398.6702724,0,0,0,1,TRUE,238.846715328467,73.6572890025575,73.298
"27123042401","Census Tract 424.01; Ramsey County; Minnesota",72288,6318,36.1,316200,2.63,2373,0.593858816081038,0.193415637860082,0,0.212725546058879,0.0153997378768021,0.0425950196592398,0.239187418086501,0.0203145478374836,0.0701179554390564,0.0271952817824377,0.0321100917431193,0.102883355176933,0.0996068152031455,0.216906946264744,0.0825688073394495,0.0389908256880734,0.0121231979030144,0.515802781289507,0.484197218710493,0.444919278252612,0.121557454890788,0.000316555872111428,0.288224121557455,0,0.0421019309908199,0.102880658436214,list(list(c(2873911.56315557, 2874306.13065796, 2878612.94583744, 2878741.6805647, 2878720.40824395, 2879639.19534865, 2880597.15700224, 2881691.64402434, 2881691.61027865, 2881836.36703325, 2882947.89171048, 2885966.66754862, 2887119.10424368, 2887125.28746125, 2887140.75579656, 2886616.16978656, 2886664.12903967, 2885606.52899561, 2885205.41727285, 2884497.25395246, 2884519.91755205, 2881906.58008778, 2881918.68677167, 2879282.99471397, 2879330.2113927, 2879377.9153598, 2878407.83505531, 2877673.11584842, 
2874108.90677711, 2874074.25356388, 2873999.46692575, 2873999.23813625, 2873911.56315557, 1071480.67872278, 1071695.72228626, 1071744.49130964, 1071745.67424589, 1071966.74338541, 1072118.91876165, 1072109.35218329, 1071970.59013359, 1071782.08037615, 1071783.84168789, 1071797.39908858, 1071388.58140451, 1070857.75339033, 1070484.82159636, 1069489.23090499, 1069507.15145455, 1069747.30253792, 1069608.42231791, 1070412.20403417, 1070390.72287476, 1069073.25976045, 1068989.14639836, 1068334.43532698, 
1068273.71118943, 1066307.88703245, 1063035.64487831, 1062964.91008156, 1062958.65593979, 1062929.05880159, 1066238.28341731, 1068872.86380937, 1071302.68474358, 1071480.67872278))),66964892.7927691,0,24837.5167659573,55.1091550270469,0,FALSE,286.081481481481,44.4919278252612,72.288
"27123040706","Census Tract 407.06; Ramsey County; Minnesota",169702,5513,44.9,395100,2.67,2061,0.59767821512788,0.298022855069835,0.00544168329403229,0.0988572465082532,0.0127298444130127,0.0261669024045262,0.156294200848656,0.0099009900990099,0.0438472418670438,0.0265205091937765,0.0212164073550212,0.0873408769448373,0.185289957567185,0.300919377652051,0.0307637906647808,0.0406647807637907,0.0583451202263083,0.962639495390587,0.0373605046094129,0.842553963359333,0.0188645020859786,0.00235806276074732,0.100308362053328,0,0,0.0359151097406131,list(list(c(2844173.69969722, 2844045.21110356, 2845827.66411417, 2846881.08518872, 2849879.72255696, 2851266.78389545, 2855158.57779437, 2855222.02388557, 2855165.05781523, 2853928.66631547, 2853954.49511687, 2849992.10538118, 2845654.33756247, 2844721.62492884, 2844658.91156158, 2844436.40076945, 2843529.1015035, 2844173.69969722, 1101844.5021128, 1103600.29515372, 1103620.72747332, 1103622.68056621, 1103632.23427903, 1103646.35684445, 1103679.39907063, 1100589.51295828, 1099257.64004753, 1099227.0340384, 
1097895.33746964, 1097820.93696701, 1097740.42960141, 1097723.02638003, 1099973.92573368, 1100515.62687664, 1101370.35708327, 1101844.5021128))),61548594.747367,0,58173.6029957076,9068.11601371557,0,FALSE,272.962226640159,84.2553963359333,169.702
"27123042602","Census Tract 426.02; Ramsey County; Minnesota",87628,2159,39.9,277700,2.35,912,0.779527559055118,0.181565539601667,0,0.0389069013432145,0,0.0798165137614679,0.146788990825688,0,0.160550458715596,0.018348623853211,0.0073394495412844,0.0963302752293578,0.143119266055046,0.170642201834862,0.0752293577981651,0.0623853211009174,0.0394495412844037,0.646929824561403,0.353070175438596,0.798517832329782,0.00463177396943029,0,0.132931912922649,0,0.016211208893006,0.047707271885132,list(list(c(2883952.04641302, 2884564.49281963, 2885260.10675544, 2884589.00486218, 2884564.87647528, 2884519.91755205, 2884497.25395246, 2885205.41727285, 2885606.52899561, 2886664.12903967, 2886616.16978656, 2887140.75579656, 2887180.03633297, 2887214.58989016, 2887232.25667098, 2887236.31389955, 2885930.74348012, 2883981.71307693, 2883952.04641302, 1063618.49501776, 1063933.75507127, 1064508.20913447, 1064800.7573065, 1066447.4493193, 1069073.25976045, 1070390.72287476, 1070412.20403417, 1069608.42231791, 
1069747.30253792, 1069507.15145455, 1069489.23090499, 1066097.64672897, 1063898.68578904, 1062580.44005122, 1062253.79135445, 1062204.07052076, 1061811.44284395, 1063618.49501776))),21199581.3286533,0,28139.8775396748,1144.11239443144,0,FALSE,300.818713450292,79.8517832329782,87.628
"27123040801","Census Tract 408.01; Ramsey County; Minnesota",100692,3180,40.2,375500,2.6,1217,0.638679245283019,0.185534591194969,0.00534591194968553,0.170440251572327,0.00656167979002625,0.0406824146981627,0.165354330708661,0.00984251968503937,0.111548556430446,0.0551181102362205,0,0.0918635170603675,0.100393700787402,0.266404199475066,0.0984251968503937,0.0223097112860892,0.031496062992126,0.867707477403451,0.132292522596549,0.720754716981132,0.0242138364779874,0,0.0952830188679245,0,0.117924528301887,0.0418238993710692,list(list(c(2834252.45893937, 2835061.2491292, 2842030.98645252, 2844721.62492884, 2844857.84395044, 2844878.98743048, 2844911.01636636, 2844911.90975784, 2844967.2789424, 2845007.67305065, 2845039.48591013, 2842703.7947785, 2842137.45326561, 2840037.38442746, 2839191.81612125, 2834998.25691711, 2835172.58969079, 2835077.75278512, 2834842.54784429, 2834552.67611323, 2834645.10963235, 2834418.77176574, 2834365.45173554, 2834252.45893937, 1097571.24700888, 1097587.68088947, 1097687.1205923, 1097723.02638003, 
1090975.6510903, 1089815.28301981, 1087264.73325707, 1087203.85105722, 1084545.98861904, 1081912.40616777, 1080027.29999406, 1080535.76536268, 1080751.61373391, 1082293.20813799, 1082507.38330152, 1082653.34458901, 1085408.66960092, 1087044.12917724, 1088561.51587585, 1089683.11653069, 1089686.95261156, 1090863.51639564, 1091654.94021901, 1097571.24700888))),162606022.143095,0,41120.0833211361,0,3,TRUE,281.977064220184,72.0754716981132,100.692
